[2025-09-08 22:00:14.933] [info]  DiscordSplash.signalReady
[2025-09-08 22:00:14.965] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-08 22:00:14.966] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-08 22:00:14.966] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-08 22:00:14.967] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-08 22:00:14.969] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-08 22:00:14.970] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-08 22:00:14.970] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-08 22:00:14.971] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-08 22:00:14.971] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-08 22:00:14.972] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-08 22:00:14.979] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-08 22:00:14.979] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-08 22:00:14.980] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-08 22:00:14.980] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-08 22:00:15.932] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-08 22:00:16.875] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-08 22:00:16.875] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-08 22:00:16.932] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-08 22:00:17.719] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-09-08 22:00:17.720] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-09-08 22:00:17.734] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
